Smith,2442977
Johnson,1932812
Williams,1625252
Brown,1437026
Jones,1425470
Garcia,1166120
Miller,1161437
Davis,1116357
Rodriguez,1094924
Martinez,1060159
Hernandez,1043281
Lopez,874523
Gonzalez,841025
Wilson,801882
Anderson,784404
Thomas,756142
Taylor,751209
Moore,724374
Jackson,708099
Martin,702625
Lee,693023
Perez,681645
Thompson,664644
White,660491
Harris,624252
Sanchez,612752
Clark,562679
Ramirez,557423
Lewis,531781
Robinson,529821
Walker,523129
Young,484447
Allen,482607
King,465422
Wright,458980
Scott,439530
Torres,437813
Nguyen,437645
Hill,434827
Flores,433969
Green,430182
Adams,427865
Nelson,424958
Baker,419586
Hall,407076
Rivera,391114
Campbell,386157
Mitchell,384486
Carter,376966
Roberts,376774
Gomez,365655
Phillips,360802
Evans,355593
Turner,348627
Diaz,347636
Parker,336221
Cruz,334201
Edwards,332423
Collins,329770
Reyes,327904
Stewart,324957
Morris,318884
Morales,311777
Murphy,308417
Cook,302589
Rogers,302261
Gutierrez,293218
Ortiz,286899
Morgan,286280
Cooper,280791
Peterson,278297
Bailey,277845
Reed,277030
Kelly,267394
Howard,264826
Ramos,263464
Kim,262352
Cox,261231
Ward,260464
Richardson,259798
Watson,252579
Brooks,251663
Chavez,250898
Wood,250715
James,249379
Bennett,247599
Gray,246116
Mendoza,242771
Ruiz,238234
Hughes,236271
Price,235251
Alvarez,233983
Castillo,230420
Sanders,230374
Patel,229973
Myers,229895
Long,229374
Ross,229368
Foster,227764
Jimenez,227118
Powell,224874
Jenkins,222653
Perry,221741
Russell,221558
Sullivan,220990
Bell,220599
Coleman,219070
Butler,218847
Henderson,218393
Barnes,218241
Gonzales,214758
Fisher,214703
Vasquez,212781
Simmons,210182
Romero,208614
Jordan,208403
Patterson,205423
Alexander,204621
Hamilton,201746
Graham,201159
Reynolds,200247
Griffin,198406
Wallace,197276
Moreno,196925
West,195818
Cole,195289
Hayes,194246
Bryant,192773
Herrera,192711
Gibson,190667
Ellis,188968
Tran,188498
Medina,188497
Aguilar,186512
Stevens,185674
Murray,184910
Ford,184832
Castro,184134
Marshall,183922
Owens,182719
Harrison,181091
Fernandez,180842
Mcdonald,180497
Woods,177425
Washington,177386
Kennedy,176865
Wells,176230
Vargas,173835
Henry,170964
Chen,169580
Freeman,169149
Webb,168878
Tucker,167446
Guzman,167044
Burns,165925
Crawford,164457
Olson,164035
Simpson,163181
Porter,163054
Hunter,162440
Gordon,161833
Mendez,161717
Silva,161633
Shaw,160400
Snyder,160262
Mason,160213
Dixon,159480
Munoz,158483
Hunt,158421
Hicks,158320
Holmes,156780
Palmer,156601
Wagner,155795
Black,154738
Robertson,153666
Boyd,153469
Rose,153397
Stone,153329
Salazar,152703
Fox,152334
Warren,152147
Mills,151942
Meyer,150895
Rice,149500
Schmidt,147034
Garza,147005
Daniels,146570
Ferguson,146426
Nichols,145584
Stephens,144646
Soto,144451
Weaver,143837
Ryan,143452
Gardner,142894
Payne,142601
Grant,142277
Dunn,141427
Kelley,140693
Spencer,139951
Hawkins,139751
Arnold,138893
Pierce,138629
Vazquez,138322
Hansen,137977
Peters,137513
Santos,137232
Hart,137184
Bradley,136720
Knight,136713
Elliott,135765
Cunningham,135718
Duncan,135187
Armstrong,135044
Hudson,134963
Carroll,134317
Lane,134227
Riley,133872
Andrews,133799
Alvarado,133501
Ray,133171
Delgado,132985
Berry,132812
Perkins,131440
Hoffman,131401
Johnston,131373
Matthews,131303
Pena,130776
Richards,130529
Contreras,130164
Willis,130152
Carpenter,129898
Lawrence,129699
Sandoval,128948
Guerrero,128677
George,128625
Chapman,127939
Rios,127794
Estrada,127470
Ortega,127256
Watkins,127083
Greene,126101
Nunez,125350
Wheeler,125058
Valdez,124995
Harper,124461
Burke,122877
Larson,122587
Santiago,122212
Maldonado,121526
Morrison,121130
Franklin,120621
Carlson,120552
Austin,119706
Dominguez,119304
Carr,119076
Lawson,119053
Jacobs,118614
Obrien,118557
Lynch,117708
Singh,116749
Vega,116673
Bishop,116618
Montgomery,115953
Oliver,115900
Jensen,115679
Harvey,115662
Williamson,114959
Gilbert,114940
Dean,114030
Sims,113374
Espinoza,112154
Howell,112041
Li,111786
Wong,111371
Reid,111360
Hanson,111144
Le,110967
Mccoy,110744
Garrett,110697
Burton,110529
Fuller,110116
Wang,109883
Weber,109433
Welch,108987
Rojas,108421
Lucas,107690
Marquez,107533
Fields,107522
Park,106696
Yang,106033
Little,105936
Banks,105833
Padilla,105365
Day,105091
Walsh,105079
Bowman,105007
Schultz,104888
Luna,104518
Fowler,104515
Mejia,104057
Davidson,103930
Acosta,103418
Brewer,103318
May,103306
Holland,102538
Juarez,101949
Newman,101931
Pearson,101836
Curtis,101801
Cortez,101694
Douglas,101458
Schneider,101290
Joseph,100959
Barrett,100104
Navarro,99807
Figueroa,98468
Keller,98268
Avila,97314
Wade,97040
Molina,96979
Stanley,96867
Hopkins,96810
Campos,96111
Barnett,95681
Bates,95622
Chambers,94988
Caldwell,93944
Beck,93786
Lambert,93678
Miranda,93628
Byrd,92904
Craig,92507
Ayala,92463
Lowe,92260
Frazier,92152
Powers,91970
Neal,91694
Leonard,91475
Gregory,91384
Carrillo,91129
Sutton,90964
Fleming,90677
Rhodes,90670
Shelton,90517
Schwartz,90071
Norris,89796
Jennings,89700
Watts,89649
Duran,89401
Walters,89376
Cohen,89091
Mcdaniel,88728
Moran,88615
Parks,88586
Steele,88230
Vaughn,88060
Becker,87859
Holt,87531
Deleon,87414
Barker,87162
Terry,87000
Hale,86618
Leon,86363
Hail,86240
Benson,86081
Haynes,85974
Horton,85195
Miles,84942
Lyons,84516
Pham,84320
Graves,84179
Bush,84018
Thornton,83967
Wolfe,83928
Warner,83781
Cabrera,83621
Mckinney,83616
Mann,83510
Zimmerman,83265
Dawson,83182
Lara,83067
Fletcher,83063
Page,82992
Mccarthy,82950
Love,82873
Robles,82458
Cervantes,82161
Solis,82146
Erickson,82085
Reeves,81978
Chang,81939
Klein,81471
